Word,Count
the,397
=,297
+,177
to,173
of,152
is,111
/,105
},96
if,96
{,93
\"\\,80
a,79
and,77
text,73
character,73
new,72
for,70
this,59
each,57
Get,56
-,48
called,48
public,41
in,40
frame,40
private,39
when,39
void,37
be,37
object,37
by,35
vertex,35
at,33
int,32
*,32
Update,31
item,30
index,30
that,29
as,29
//,28
used,27
player,27
with,26
on,25
==,24
slot,23
Draw,23
<summary>,22
word,22
</summary>,22
characters,21
per,21
has,21
we,21
If,21
once,21
Use,20
chunkPosY,20
center,20
vertices,19
state,19
reference,19
false;,19
right,19
initialization,19
Check,18
it,18
&,18
any,18
uiVertices[vertexIndex,18
!=,17
TextMesh,17
line,16
float,16
mesh,16
current,16
c;,16
,16
been,15
Text,15
so,15
or,15
should,15
will,14
data,14
true;,14
%,14
through,14
change,14
0),14
Region,14
position,14
Word,13
\animator,\,13
GameObject,13
material,13
pos,13
matrix,13
override,13
\255,\,13
not,13
inventory,13
layerIndex),13
one,13
else,13
event,13
left,13
\stateInfo,\,13
first,13
AnimatorStateInfo,13
slots,13
ushort,12
color,12
Vector3,12
all,12
from,12
only,12
element,12
between,12
around,12
end,12
Iterate,11
then,11
update,11
check,11
Link,11
random,11
Determine,11
here,11
path,11
\Resources.Load("\Fonts\,11
Method,11
before,11
wait,11
scale,10
after,10
animation,10
point,10
\SDF"\,\,10
&&,10
last,10
colors,10
Need,10
have,10
i,10
This,10
words,10
an,9
Mouse,9
<returns></returns>,9
intersects,9
1);,9
assign,9
added,9
since,9
tile,9
implemented,9
can,9
S,9
yield,9
0);,9
Pro,9
255);,9
amount,9
hotbar,9
baseline,9
\["\\,9
Implementation,9
up,9
Restore,8
over,8
Code,8
force,8
TMP,8
0;,8
are,8
size,8
needed,8
OnStateExit,8
\"\]"\);\,8
applied,8
\Color32(255,\,8
transition,8
selection,8
<,8
there,8
machine,8
starts,8
OnStateEnter,8
regenerated,8
adding,8
currentCharInfo.character,8
TRS,8
updated,8
fired,8
original,7
string,7
sure,7
Add,7
link,7
Floating,7
add,7
items,7
set,7
\0,\,7
visible,7
selected,7
>,7
into,7
stack,7
foreach,7
A,7
information,7
\called"\);\,7
Spawn,7
TO,7
2,7
0,7
exists,7
node,7
using,7
Character,7
null),7
game,7
Apply,7
delegate,6
How,6
top,6
4,6
need,6
\255),\,6
<=,6
<param,6
Subscribe,6
max,6
curve,6
Handle,6
Event,6
typeof(TextMeshProFont)),6
0));,6
stone,6
crouching,6
TextMeshPro,6
what,6
modified,6
manipulate,6
chest,6
y,6
which,6
\Debug.Log("\End\,6
aligned,6
R,6
changes,6
TextMeshProFont;,6
y],6
m_Transform.TransformPoint(new,6
some,6
Characters,6
Vertex,6
would,6
no,6
chunkSize);,6
uiVertices,6
translate,6
remaining,6
2],6
Materials/LiberationSans,6
Set,6
just,6
Clear,6
origin,6
THE,6
id,6
We,6
go.transform.position,5
return;,5
Setup,5
attributeIcon.sprite,5
UpdateAllPlayerInventoryPanelSlots();,5
return,5
back,5
quad,5
Quads,5
bool,5
Move,5
-1,5
animate,5
could,5
empty,5
angle,5
Input,5
false);,5
panel,5
(int,5
middle,5
listeners,5
relative,5
ID,5
triggered,5
//if,5
values,5
Vector3.one,5
Camera,5
cached,5
already,5
\y],\,5
mouse,5
start,5
based,5
grounded,5
No,5
meshes,5
but,5
Y,5
Component,5
display,5
:,5
||,5
Example,5
child,5
\Debug.Log("\resource\,5
input,5
Skip,5
pointer,5
bottom,5
\2,\,5
sprite),5
RESOURCES,5
Hotbar,5
generated,5
(m_frame,5
i);,5
Time.time,5
(character,5
SDF,5
until,5
(inverse,4
Send,4
tilePool.GetPoolSize());,4
executed,4
use,4
0.3f);,4
vertexIndex,4
Gizmos.color,4
Compute,4
time,4
was,4
Push,4
Destroy(child.gameObject);,4
sprite,4
2].color,4
ends,4
OnStateIK,4
Custom,4
uiVertices.Length);,4
Limit,4
attributes,4
m_TextMeshPro.textInfo.meshInfo.uiVertices;,4
items:,4
UIVertex[],4
m_frame,4
callbacks,4
Animator.OnAnimatorIK(),4
..,4
links,4
bot,4
(BenchmarkType,4
function,4
affects,4
AND,4
IS,4
this..,4
component,4
facing,4
Ie,4
\,\,4
1],4
IMPLEMENTATION,4
Top,4
Make,4
\m_TextMeshPro.canvasRenderer.SetVertices(uiVertices,\,4
dropped,4
finishes,4
geometry,4
prio,4
protected,4
evaluate,4
test,4
m_textMeshPro.fontSharedMaterial,4
evaluating,4
rotation,4
OPTIMIZATION,4
REFERENCES,4
NEED,4
switch,4
sets,4
typeof(Material)),4
Left,4
0].color,4
OnStateIK(Animator,4
\(byte)Random.Range(0,\,4
how,4
done,4
Right,4
Colors,4
Animator.OnAnimatorMove(),4
1000).ToString();,4
array,4
target,4
starting,4
motion,4
sub,4
\Quaternion.Euler(0,\,4
Rectangles,4
1].color,4
(Transform,4
FUNCTIONS,4
OnStateMove(Animator,4
\Debug.Log("\Pool\,4
move,4
root,4
kinematics),4
spawn,4
bounds,4
previous,4
make,4
Debug.Log(terrainType);,4
null,4
OnStateMove,4
c,4
boundsMinX),4
\name="\text"\></param>\,4
\Alternatively,\,4
thus,4
3].color,4
\"\NPC\,4
The,4
Update(),4
get,4
m_TextMeshPro.anchor,4
min,4
OnStateUpdate,4
Load,4
Materials/Anton,4
out,4
floating,4
processes,4
(health,4
code,4
IK,4
x,4
Color32,4
calling,4
valid,4
Material;,4
Bottom,4
about,3
many,3
chance,3
second,3
difference,3
collider,3
1),3
RectTransform,3
enginePanelToggleButn.onClick.AddListener(ToggleEnginePanel);,3
//reference,3
#,3
format,3
call,3
digits,3
Canvas,3
appropriate,3
wordIndex,3
CLASS,3
Allocate,3
i++),3
stuff,3
[CreateAssetMenu(fileName,3
instance,3
m_textMeshPro.font,3
path[0];,3
\targetPos,\,3
subject,3
INVENTORY,3
optimization,3
IF,3
list,3
m_textMeshPro.characterSpacing,3
show,3
TOP,3
\current_Count.ToString("\f2"\));\,3
revealing,3
OnStateUpdate(Animator,3
number,3
1;,3
counter,3
Revert,3
2].SetActive(false);,3
count,3
id_02,3
Mobile,3
same,3
Visible,3
\chunks[chunkToDisplayll,\,3
